rank,name,year,certification,duration,rating,review_count,director,writer,genre,stars
1,Disaster Movie,2008,PG-13,1.27,1.9,94,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']","['Comedy', 'Sci-Fi']","['Carmen Electra', 'Vanessa Lachey', 'Nicole Parker']"
2,Manos: The Hands of Fate,1966,Not Rated,1.1,1.6,37,['Harold P. Warren'],['Harold P. Warren'],['Horror'],"['Tom Neyman', 'John Reynolds', 'Diane Adelson']"
3,Birdemic: Shock and Terror,2010,Not Rated,1.45,1.7,25,['James Nguyen'],"['Writer', 'James Nguyen', '']","['Horror', 'Thriller']","['Alan Bagh', 'Whitney Moore', 'Tippi Hedren']"
4,Superbabies: Baby Geniuses 2,2004,PG,1.28,1.5,32,['Bob Clark'],"['Writers', 'Robert Grasmere', 'Francisca Matos', 'Steven Paul', '']","['Comedy', 'Family', 'Sci-Fi']","['Jon Voight', 'Scott Baio', 'Vanessa Angel']"
5,The Hottie & the Nottie,2008,PG-13,1.31,2.0,39,['Tom Putnam'],['Heidi Ferrer'],"['Comedy', 'Romance']","['Paris Hilton', 'Joel David Moore', 'Christine Lakin']"
6,Kirk Cameron's Saving Christmas,2014,PG,1.19,1.3,17,['Darren Doane'],"['Darren Doane', 'Cheston Hervey']","['Comedy', 'Family']","['Kirk Cameron', 'Darren Doane', 'Bridgette Cameron']"
7,House of the Dead,2003,R,1.3,2.1,38,['Uwe Boll'],"['Writers', 'Mark A. Altman', 'Dan Bates', 'Dave Parker', '']","['Action', 'Adventure', 'Horror']","['Jonathan Cherry', 'Tyron Leitso', 'Clint Howard']"
8,Son of the Mask,2005,PG,1.34,2.3,59,['Lawrence Guterman'],['Lance Khazei'],"['Comedy', 'Family', 'Fantasy']","['Jamie Kennedy', 'Traylor Howard', 'Alan Cumming']"
9,Epic Movie,2007,PG-13,1.26,2.4,109,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']","['Adventure', 'Comedy', 'Fantasy']","['Kal Penn', 'Jennifer Coolidge', 'Fred Willard']"
10,Radhe,2021,TV-MA,1.49,1.9,179,['Prabhu Deva'],"['Writers', 'Vijay Maurya', 'A.C. Mughil', '']","['Action', 'Crime', 'Thriller']","['Salman Khan', 'Disha Patani', 'Randeep Hooda']"
11,Battlefield Earth,2000,PG-13,1.57,2.5,82,['Roger Christian'],"['Corey Mandell', 'J.D. Shapiro', 'L. Ron Hubbard']","['Action', 'Adventure', 'Sci-Fi']","['John Travolta', 'Forest Whitaker', 'Barry Pepper']"
12,Pledge This!,2006,R,1.31,1.7,19,"['William Heins', 'Strathford Hamilton']","['Cheryl Guerriero', 'Anna Obropta']",['Comedy'],"['Paris Hilton', 'Simon Rex', 'Paula Garcés']"
13,Alone in the Dark,2005,R,1.36,2.4,47,['Uwe Boll'],"['Elan Mastai', 'Michael Roesch', 'Peter Scheerer']","['Action', 'Horror', 'Sci-Fi']","['Christian Slater', 'Tara Reid', 'Stephen Dorff']"
14,Dragonball Evolution,2009,PG,1.25,2.5,78,['James Wong'],"['Ben Ramsey', 'Akira Toriyama']","['Action', 'Adventure', 'Fantasy']","['Justin Chatwin', 'James Marsters', 'Chow Yun-Fat']"
15,Race 3,2018,Not Rated,2.4,1.9,48,"[""Remo D'Souza""]","['Writers', 'Shiraz Ahmed', 'Kiran Kotrial', 'Athar Nawaaz', '']","['Action', 'Crime', 'Thriller']","['Anil Kapoor', 'Salman Khan', 'Bobby Deol']"
16,From Justin to Kelly,2003,PG,1.21,1.9,27,['Robert Iscove'],['Kim Fuller'],"['Comedy', 'Musical', 'Romance']","['Kelly Clarkson', 'Justin Guarini', 'Katherine Bailess']"
17,Foodfight!,2012,PG,1.31,1.3,12,['Lawrence Kasanoff'],"['Writers', 'Lawrence Kasanoff', 'Joshua Wexler', 'Brent V. Friedman', '']","['Animation', 'Action', 'Adventure']","['Hilary Duff', 'Haylie Duff', 'Charlie Sheen']"
18,Going Overboard,1989,R,1.39,1.8,14,['Valerie Breiman'],"['Writers', 'Valerie Breiman', 'Adam Sandler', 'Scott LaRose', '']",['Comedy'],"['Adam Sandler', 'Billy Bob Thornton', 'Billy Zane']"
19,Turks in Space,2006,Not Rated,1.5,1.5,17,['Kartal Tibet'],['Murat Boyacioglu'],"['Action', 'Comedy', 'Sci-Fi']","['Cüneyt Arkin', 'Miraç Bayramoglu', 'Haldun Boysan']"
20,Meet the Spartans,2008,PG-13,1.27,2.8,111,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']","['Comedy', 'Fantasy']","['Sean Maguire', 'Kevin Sorbo', 'Carmen Electra']"
21,Gigli,2003,R,0.21,2.6,50,['Martin Brest'],['Martin Brest'],"['Comedy', 'Crime', 'Romance']","['Ben Affleck', 'Jennifer Lopez', 'Justin Bartha']"
22,Date Movie,2006,PG-13,1.23,2.8,62,"['Aaron Seltzer', 'Jason Friedberg']","['Jason Friedberg', 'Aaron Seltzer']","['Comedy', 'Romance']","['Alyson Hannigan', 'Adam Campbell', 'Fred Willard']"
